story,segment_id,segment_rel_pos,models_mean,human_pcaught,mean_minus_human,segment_text,gpt4o_pcaught,llama4_pcaught,deep_seek_pcaught,oss_120_pcaught,models_min,models_max
hester_v1-park,27,0.5,2.5,4.082,-1.582,"And uh I said to myself, well now,",0.0,0.0,10.0,0.0,0.0,10.0
costa,31,0.16,49.0,50.538,-1.538,"And Rita was – I was cooking,",45.0,27.0,50.0,74.0,27.0,74.0
panic,3,0.05,90.5,92.0,-1.5,working on the warehouse floor,94.0,86.0,93.0,89.0,86.0,94.0
hester_v2-church,32,0.59,35.5,37.0,-1.5,It was as if something was pulling me towards the house.,11.0,32.0,54.0,45.0,11.0,54.0
hester_v1-park,7,0.13,85.25,86.735,-1.485,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",100.0,49.0,92.0,100.0,49.0,100.0
stein,8,0.06,16.146,17.526,-1.379,"He – stopped somewhere on – I dunno,",2.752,20.0,38.095,3.738,2.752,38.095
stein,13,0.1,89.353,90.722,-1.369,And then of course they – they – well they stoned the house.,65.138,97.0,97.143,98.131,65.138,98.131
triplett_v1-rookie,29,0.91,77.485,78.788,-1.303,And I did.,100.0,26.733,97.0,86.207,26.733,100.0
costa,92,0.47,63.25,64.516,-1.266,"And just as I turned my back, my daughter passed away.",77.0,69.0,77.0,30.0,30.0,77.0
stein,9,0.07,14.476,15.464,-0.988,but he – how he – why he wasn't in the house.,3.67,20.0,31.429,2.804,2.804,31.429
triplett_v1-rookie,28,0.88,85.889,86.869,-0.98,"But that evening the deputy, Frank Mitchell, said “You better transfer and leave because that old man never forgets anything once he gets it into his mind.”",100.0,44.554,99.0,100.0,44.554,100.0
hester_v1-park,23,0.43,4.25,5.102,-0.852,I just took a deep breath.,0.0,2.0,15.0,0.0,0.0,15.0
costa,133,0.69,43.25,44.086,-0.836,"And the back of her leg, it felt just like a pole.",43.0,41.0,78.0,11.0,11.0,78.0
stein,32,0.25,28.077,28.866,-0.789,So uh that's where she was going to do her shopping.,22.936,25.0,43.81,20.561,20.561,43.81
hester_v2-church,54,1.0,10.25,11.0,-0.75,"And I am reminded that we are never truly alone, even when it seems like we are.",2.0,1.0,3.0,35.0,1.0,35.0
doSomething,65,0.8,62.5,63.158,-0.658,but he's got a problem.,41.0,63.0,78.0,68.0,41.0,78.0
triplett_v2-catlady,19,0.59,58.563,59.184,-0.621,So she took my advice.,84.259,90.291,52.294,7.407,7.407,90.291
doSomething,73,0.9,63.75,64.211,-0.461,and starts backing up.,28.0,80.0,93.0,54.0,28.0,93.0
doSomething,29,0.36,33.25,33.684,-0.434,as we're going up there this little hill right there.,14.0,45.0,47.0,27.0,14.0,47.0
costa,190,0.98,44.75,45.161,-0.411,It was a shock to everybody. That was a shock that –,78.0,41.0,37.0,23.0,23.0,78.0
costa,83,0.43,70.75,70.968,-0.218,"I said, “You killed my daughter – what did you do to her?”",62.0,71.0,76.0,74.0,62.0,76.0
panic,16,0.29,24.0,24.0,0.0,I stopped what I was doing,21.0,22.0,48.0,5.0,5.0,48.0
bear,41,0.34,72.25,72.0,0.25,"and we flew way up into Canada some place,",98.0,82.0,81.0,28.0,28.0,98.0
bear,46,0.38,52.25,52.0,0.25,"Then after we ... went as far as we could in the canoes,",46.0,60.0,53.0,50.0,46.0,60.0
hester_v2-church,16,0.3,31.25,31.0,0.25,"I was only a short distance away, maybe a quarter-mile.",7.0,31.0,23.0,64.0,7.0,64.0
doSomething,64,0.79,82.5,82.105,0.395,"and said to this deputy “This guy behind me is either sick or he's drunk,",54.0,81.0,97.0,98.0,54.0,98.0
costa,38,0.2,33.75,33.333,0.417,"Since she’s gone, I never forget that.",51.0,24.0,31.0,29.0,24.0,51.0
bear,122,1.0,73.5,73.0,0.5,they haven't asked me to go hunting one time since that day.,100.0,4.0,90.0,100.0,4.0,100.0
doSomething,63,0.78,54.25,53.684,0.566,"walked over there,",30.0,70.0,34.0,83.0,30.0,83.0
stein,109,0.84,44.929,44.33,0.599,"she told them how much money she had paid,",36.697,38.0,68.571,36.449,36.449,68.571
costa,163,0.84,81.25,80.645,0.605,My husband had a heart attack.,88.0,64.0,86.0,87.0,64.0,88.0
costa,63,0.32,33.0,32.258,0.742,Then a little nurse’s aide went to the closet and got some blankets.,24.0,11.0,10.0,87.0,10.0,87.0
doSomething,39,0.48,85.0,84.211,0.789,couldn't keep it in one lane.,88.0,83.0,92.0,77.0,77.0,92.0
stein,26,0.2,48.31,47.423,0.888,I was ten years old at the time this happened –,13.761,36.0,76.19,67.29,13.761,76.19
costa,28,0.14,83.75,82.796,0.954,Go Pick Marie up.,80.0,83.0,84.0,88.0,80.0,88.0
bear,26,0.21,50.0,49.0,1.0,"they were always coming out to the farm,",62.0,74.0,34.0,30.0,30.0,74.0
hester_v2-church,42,0.78,17.0,16.0,1.0,We became more grateful for the time we had together.,23.0,34.0,6.0,5.0,5.0,34.0
costa,27,0.14,67.75,66.667,1.083,"“Mrs. Costa, they just called you from the hospital.",61.0,49.0,75.0,86.0,49.0,86.0
schissel_v1-pool,1,0.06,97.5,96.296,1.204,My best friend pushed me into the pool.,100.0,97.0,97.0,96.0,96.0,100.0
costa,84,0.43,55.0,53.763,1.237,"She said, “We don’t know what happened, Mrs. Costa.”",56.0,45.0,36.0,83.0,36.0,83.0
stein,42,0.32,74.634,73.196,1.438,It's Irish.”,74.312,62.0,79.048,83.178,62.0,83.178
bear,21,0.17,50.5,49.0,1.5,wasn't all that exciting to me.,70.0,47.0,44.0,41.0,41.0,70.0
doSomething,78,0.96,72.25,70.526,1.724,"and they make a U­-turn in the road and start following him,",81.0,63.0,52.0,93.0,52.0,93.0
hester_v2-church,36,0.67,99.75,98.0,1.75,"To my surprise, I found my grandpa sitting in the living room, talking to my sister.",100.0,100.0,99.0,100.0,99.0,100.0
triplett_v1-rookie,30,0.94,80.752,78.788,1.964,I transferred.,100.0,26.733,98.0,98.276,26.733,100.0
hester_v1-park,37,0.69,74.5,72.449,2.051,But I ask you to please help my father recover.,24.0,84.0,94.0,96.0,24.0,96.0
costa,71,0.37,58.0,55.914,2.086,And my daughter was on the bed with her bedroom slippers and her housecoat on.,59.0,56.0,65.0,52.0,52.0,65.0
triplett_v1-rookie,26,0.81,90.091,87.879,2.213,She hadn't run away.,100.0,77.228,84.0,99.138,77.228,100.0
schissel_v2-lake,6,0.33,42.045,39.796,2.25,- this was at our favorite spot in the woods -,44.554,40.741,31.0,51.887,31.0,51.887
stein,25,0.19,56.071,53.608,2.462,And I ran –,34.862,64.0,60.0,65.421,34.862,65.421
bear,8,0.07,57.5,55.0,2.5,and so we were acquainted.,90.0,47.0,22.0,71.0,22.0,90.0
panic,7,0.12,18.5,16.0,2.5,it was getting late,42.0,4.0,15.0,13.0,4.0,42.0
doSomething,49,0.6,26.75,24.211,2.539,"and I know I oughta do something about it,",28.0,21.0,53.0,5.0,5.0,53.0
stein,11,0.08,99.512,96.907,2.605,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.,100.0,99.0,99.048,100.0,99.0,100.0
hester_v2-church,11,0.2,41.75,39.0,2.75,"I looked around the bookstore, but no one was there.",28.0,50.0,11.0,78.0,11.0,78.0
schissel_v2-lake,1,0.06,90.63,87.755,2.875,My best friend pushed me into the lake.,100.0,94.444,86.0,82.075,82.075,100.0
hester_v2-church,2,0.04,17.0,14.0,3.0,I was staying in a small town about five miles from here.,26.0,11.0,0.0,31.0,0.0,31.0
bear,24,0.2,16.0,13.0,3.0,"Things went on,",27.0,14.0,9.0,14.0,9.0,27.0
schissel_v1-pool,2,0.11,93.75,90.741,3.009,"This happened during my cousin's wedding reception,",99.0,97.0,94.0,85.0,85.0,99.0
costa,39,0.2,40.75,37.634,3.116,"So I said, “Put a pot of coffee on,",52.0,22.0,46.0,43.0,22.0,52.0
hester_v1-park,14,0.26,97.0,93.878,3.122,"So, I went to the park during my break",99.0,97.0,100.0,92.0,92.0,100.0
hester_v2-church,9,0.17,99.25,96.0,3.25,"As I was shelving books, I suddenly heard a voice inside my head.",100.0,100.0,97.0,100.0,97.0,100.0
hester_v2-church,13,0.24,86.25,83.0,3.25,"It spoke to me again, repeating the same message.",70.0,80.0,98.0,97.0,70.0,98.0
stein,108,0.83,49.674,46.392,3.282,"She told them that they had rented the house,",38.532,41.0,75.238,43.925,38.532,75.238
doSomething,46,0.57,86.5,83.158,3.342,at least he appeared that way...,97.0,84.0,75.0,90.0,75.0,97.0
doSomething,44,0.54,47.75,44.211,3.539,So I was trying to make up my mind what to do.,50.0,59.0,59.0,23.0,23.0,59.0
schissel_v1-pool,18,1.0,92.5,88.889,3.611,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""",100.0,70.0,100.0,100.0,70.0,100.0
doSomething,45,0.56,89.0,85.263,3.737,I was pretty sure he was drunk...,100.0,85.0,80.0,91.0,80.0,100.0
bear,11,0.09,71.75,68.0,3.75,and we became quite good friends.,100.0,61.0,38.0,88.0,38.0,100.0
bear,44,0.36,76.75,73.0,3.75,"and paddled for another ... day and a half it seemed to me,",48.0,85.0,74.0,100.0,48.0,100.0
stein,90,0.69,75.063,71.134,3.929,and they took us home.,98.165,59.0,55.238,87.85,55.238,98.165
bear,48,0.39,79.0,75.0,4.0,'till we got to this cabin that they had rented way up there in the north woods.,97.0,70.0,80.0,69.0,69.0,97.0
panic,38,0.68,88.0,84.0,4.0,luckily the manager got to me in time,98.0,65.0,97.0,92.0,65.0,98.0
bear,34,0.28,56.0,52.0,4.0,wasn't too hepped up on this at all.,91.0,56.0,56.0,21.0,21.0,91.0
hester_v1-park,5,0.09,100.0,95.918,4.082,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",100.0,100.0,100.0,100.0,100.0,100.0
hester_v1-park,38,0.7,56.25,52.041,4.209,"So he can regain his independence and enjoy life again.""",14.0,43.0,88.0,80.0,14.0,88.0
costa,4,0.02,65.5,61.29,4.21,She died at Methodist Hospital.,74.0,55.0,65.0,68.0,55.0,74.0
hester_v2-church,21,0.39,24.25,20.0,4.25,I admitted to myself that I was far from being a saint.,14.0,15.0,55.0,13.0,13.0,55.0
hester_v2-church,5,0.09,95.25,91.0,4.25,"My grandpa, who had been bedridden for almost a year, was at home with my sister.",100.0,100.0,81.0,100.0,81.0,100.0
doSomething,66,0.81,62.25,57.895,4.355,He can't keep his car on one side of the road.”,27.0,57.0,84.0,81.0,27.0,84.0
triplett_v1-rookie,31,0.97,72.056,67.677,4.379,and left.,98.204,25.743,91.0,73.276,25.743,98.204
hester_v1-park,33,0.61,22.75,18.367,4.383,I looked around one more time,0.0,10.0,81.0,0.0,0.0,81.0
hester_v2-church,22,0.41,21.5,17.0,4.5,I had my share of mistakes and misdeeds.,12.0,15.0,48.0,11.0,11.0,48.0
hester_v2-church,14,0.26,30.75,26.0,4.75,"I looked around once more, but still found no one.",10.0,30.0,9.0,74.0,9.0,74.0
hester_v2-church,28,0.52,80.75,76.0,4.75,"Please help him regain his strength and guide us in taking care of him.""",90.0,80.0,78.0,75.0,75.0,90.0
hester_v2-church,19,0.35,63.75,59.0,4.75,I remembered my grandma always saying that prayers from a sincere heart could bring miracles.,30.0,56.0,72.0,97.0,30.0,97.0
schissel_v1-pool,5,0.28,95.5,90.741,4.759,"she spotted a bee hovering near my face,",97.0,93.0,100.0,92.0,92.0,100.0
costa,37,0.19,40.25,35.484,4.766,"When I get up in the morning, the first cup is hers.",55.0,20.0,32.0,54.0,20.0,55.0
triplett_v1-rookie,12,0.38,99.75,94.949,4.801,Then she left a message one day saying she was going to run away because he was always scolding her about me.,100.0,100.0,99.0,100.0,99.0,100.0
triplett_v1-rookie,25,0.78,98.76,93.939,4.821,she was sitting on a chair with a book in her hands.,100.0,96.04,99.0,100.0,96.04,100.0
doSomething,41,0.51,17.5,12.632,4.868,And all the time this is going on...,15.0,35.0,16.0,4.0,4.0,35.0
schissel_v2-lake,12,0.67,99.769,94.898,4.871,and gave me a little nudge.,100.0,99.074,100.0,100.0,99.074,100.0
costa,1,0.01,87.75,82.796,4.954,My daughter died.,98.0,95.0,78.0,80.0,78.0,98.0
panic,49,0.88,91.0,86.0,5.0,It turned out I had been having a panic attack,100.0,83.0,98.0,83.0,83.0,100.0
hester_v2-church,15,0.28,99.0,94.0,5.0,I decided to take a break and walk to the church.,98.0,100.0,99.0,99.0,98.0,100.0
hester_v1-park,10,0.19,100.0,94.898,5.102,"One day, I got this strong feeling while I was at work.",100.0,100.0,100.0,100.0,100.0,100.0
stein,69,0.53,72.19,67.01,5.18,"And he says, “Well lady there's nothing we can do about it.”",91.743,48.0,72.381,76.636,48.0,91.743
panic,12,0.21,23.25,18.0,5.25,"But then, as I was walking around the warehouse",5.0,17.0,55.0,16.0,5.0,55.0
bear,10,0.08,82.25,77.0,5.25,"we found that the four of us were all now attending the same school,",96.0,70.0,66.0,97.0,66.0,97.0
bear,29,0.24,99.25,94.0,5.25,one of them got the idea they'd like to go bear hunting up in Canada.,100.0,98.0,99.0,100.0,98.0,100.0
bear,12,0.1,92.5,87.0,5.5,"I was the kid from the farm,",100.0,81.0,89.0,100.0,81.0,100.0
hester_v1-park,42,0.78,99.5,93.878,5.622,"It said, ""I just took a few steps with my walker.""",100.0,99.0,99.0,100.0,99.0,100.0
bear,18,0.15,90.75,85.0,5.75,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,91.0,87.0,85.0,100.0,85.0,100.0
panic,8,0.14,74.75,69.0,5.75,I had been feeling a bit strange,88.0,80.0,93.0,38.0,38.0,93.0
bear,33,0.27,76.75,71.0,5.75,"so I left them talk me into it,",98.0,83.0,81.0,45.0,45.0,98.0
costa,90,0.46,73.5,67.742,5.758,"I went hysterical, you know what I mean? She was only eighteen years old.",72.0,79.0,70.0,73.0,70.0,79.0
hester_v1-park,39,0.72,11.0,5.102,5.898,I opened my eyes,0.0,5.0,36.0,3.0,0.0,36.0
costa,16,0.08,39.25,33.333,5.917,“She’s too sick.”,53.0,40.0,54.0,10.0,10.0,54.0
stein,12,0.09,86.35,80.412,5.938,And I – and I looked and it was a big stone.,97.248,83.0,85.714,79.439,79.439,97.248
bear,115,0.94,72.0,66.0,6.0,"and pulled the door shut,",91.0,14.0,89.0,94.0,14.0,94.0
hester_v2-church,10,0.19,99.0,93.0,6.0,"It said, ""If you go to the old church down the street and light a candle for your grandpa, he will get better.""",99.0,99.0,99.0,99.0,99.0,99.0
doSomething,60,0.74,86.0,80.0,6.0,"So I motion for him to come over,",98.0,87.0,84.0,75.0,75.0,98.0
triplett_v1-rookie,4,0.12,94.89,88.889,6.001,But he had – a young daughter.,99.401,84.158,96.0,100.0,84.158,100.0
schissel_v2-lake,11,0.61,100.0,93.878,6.122,So that's when she snuck up behind me,100.0,100.0,100.0,100.0,100.0,100.0
costa,166,0.86,79.25,73.118,6.132,"Right there, my Michael came, and my Michael collapsed.",84.0,63.0,85.0,85.0,63.0,85.0
hester_v1-park,2,0.04,72.5,66.327,6.173,I was living in a small apartment near the city center.,100.0,41.0,51.0,98.0,41.0,100.0
boyscout,7,0.37,100.0,93.814,6.186,"And, going down the third time, I caught cramps",100.0,100.0,100.0,100.0,100.0,100.0
triplett_v1-rookie,21,0.66,68.167,61.616,6.55,and we traced down a little more,32.335,77.228,70.0,93.103,32.335,93.103
costa,66,0.34,41.0,34.409,6.591,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",30.0,43.0,30.0,61.0,30.0,61.0
panic,30,0.54,73.75,67.0,6.75,called out to me,60.0,58.0,99.0,78.0,58.0,99.0
bear,15,0.12,97.75,91.0,6.75,"they used to like to come out to the farm and hunt,",100.0,96.0,95.0,100.0,95.0,100.0
hester_v2-church,3,0.06,98.75,92.0,6.75,I had just started my first job at a local bookstore.,100.0,100.0,95.0,100.0,95.0,100.0
panic,14,0.25,100.0,93.0,7.0,I started to feel a strange tightness,100.0,100.0,100.0,100.0,100.0,100.0
panic,15,0.27,100.0,93.0,7.0,and pressure in my chest,100.0,100.0,100.0,100.0,100.0,100.0
costa,75,0.39,69.5,62.366,7.134,You killed her! You killed her!”,57.0,57.0,77.0,87.0,57.0,87.0
costa,26,0.13,83.5,76.344,7.156,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",89.0,70.0,84.0,91.0,70.0,91.0
costa,20,0.1,39.5,32.258,7.242,and they had to put her back in bed.,31.0,34.0,23.0,70.0,23.0,70.0
doSomething,10,0.12,46.25,38.947,7.303,coming on to Twenty­-four.,27.0,76.0,52.0,30.0,27.0,76.0
hester_v1-park,9,0.17,76.75,69.388,7.362,so it was just my dad and the neighbor lady at home during the day.,86.0,48.0,75.0,98.0,48.0,98.0
stein,43,0.33,64.075,56.701,7.374,"And he said, “They're known to do things like that,",79.817,63.0,71.429,42.056,42.056,79.817
doSomething,4,0.05,84.25,76.842,7.408,"Well we're going up Twenty­-four,",85.0,79.0,75.0,98.0,75.0,98.0
hester_v2-church,50,0.93,28.5,21.0,7.5,It remains a vivid memory in my mind.,8.0,17.0,20.0,69.0,8.0,69.0
schissel_v1-pool,12,0.67,89.0,81.481,7.519,and I tumbled into the water.,89.0,88.0,96.0,83.0,83.0,96.0
costa,36,0.19,46.5,38.71,7.79,"And you know, every morning, that first cup of coffee, I offered it to her.",58.0,20.0,35.0,73.0,20.0,73.0
triplett_v1-rookie,27,0.84,25.062,17.172,7.891,But – nevertheless – that resolved the issue for that day.,9.581,22.772,11.0,56.897,9.581,56.897
doSomething,71,0.88,30.0,22.105,7.895,"He stops,",28.0,47.0,20.0,25.0,20.0,47.0
costa,3,0.02,62.75,54.839,7.911,"The thirtieth of this month, yeah.",64.0,73.0,60.0,54.0,54.0,73.0
doSomething,38,0.47,94.25,86.316,7.934,"He starts weaving back and forth,",100.0,85.0,98.0,94.0,85.0,100.0
bear,9,0.07,72.0,64.0,8.0,"But then after graduation when we all enrolled in school,",92.0,55.0,51.0,90.0,51.0,92.0
costa,74,0.38,85.5,77.419,8.081,"I said, “What did you do, kill my daughter?",78.0,80.0,90.0,94.0,78.0,94.0
triplett_v2-catlady,4,0.12,92.183,83.673,8.509,But she had – a young grandson,95.37,83.495,94.495,95.37,83.495,95.37
bear,7,0.06,79.75,71.0,8.75,"Previous to that during high school we'd all been high school athletes at different schools,",99.0,82.0,38.0,100.0,38.0,100.0
triplett_v2-catlady,32,1.0,31.359,22.449,8.91,That was the second time.,0.0,0.971,57.798,66.667,0.0,66.667
hester_v2-church,35,0.65,68.0,59.0,9.0,I locked up the store and rushed home.,44.0,63.0,65.0,100.0,44.0,100.0
doSomething,1,0.01,93.5,84.211,9.289,About a month ago see we were going to a church league softball game...,100.0,86.0,88.0,100.0,86.0,100.0
triplett_v1-rookie,32,1.0,71.24,61.616,9.624,That was the end of my rookie year.,100.0,3.96,81.0,100.0,3.96,100.0
hester_v2-church,43,0.8,36.75,27.0,9.75,I often thought back to that day in the church.,41.0,17.0,56.0,33.0,17.0,56.0
bear,5,0.04,45.75,36.0,9.75,we became friends after we all...,70.0,30.0,19.0,64.0,19.0,70.0
doSomething,30,0.37,42.5,32.632,9.868,At Ranch Eggs.,27.0,32.0,38.0,73.0,27.0,73.0
triplett_v1-rookie,20,0.62,98.76,88.889,9.871,And we went to where they found her scarf – near a park.,100.0,96.04,99.0,100.0,96.04,100.0
stein,17,0.13,76.915,67.01,9.905,And I'm gonna go and see if I can find mom” –,96.33,86.0,55.238,70.093,55.238,96.33
bear,19,0.16,90.25,80.0,10.25,I never really enjoyed hunting.,100.0,75.0,86.0,100.0,75.0,100.0
hester_v1-park,11,0.2,97.0,86.735,10.265,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",100.0,88.0,100.0,100.0,88.0,100.0
triplett_v1-rookie,17,0.53,81.994,71.717,10.277,and if we can't locate her well you can – do whatever you think is right.”,89.222,48.515,98.0,92.241,48.515,98.0
hester_v1-park,53,0.98,92.0,81.633,10.367,My father is now able to walk without any assistance.,100.0,79.0,90.0,99.0,79.0,100.0
costa,35,0.18,53.5,43.011,10.489,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",52.0,27.0,46.0,89.0,27.0,89.0
stein,128,0.98,29.048,18.557,10.492,But that was our welcoming to the neighborhood.,31.193,8.0,69.524,7.477,7.477,69.524
schissel_v1-pool,11,0.61,97.75,87.037,10.713,"So that's when she gave me a little shove,",100.0,98.0,93.0,100.0,93.0,100.0
hester_v1-park,41,0.76,99.5,88.776,10.724,"Suddenly, I received a text message from my father.",100.0,99.0,99.0,100.0,99.0,100.0
panic,17,0.3,59.75,49.0,10.75,leaned against a nearby wall for a bit,93.0,48.0,67.0,31.0,31.0,93.0
hester_v2-church,41,0.76,41.75,31.0,10.75,It was a turning point in our lives.,51.0,60.0,31.0,25.0,25.0,60.0
triplett_v2-catlady,12,0.38,98.624,87.755,10.869,Then he left a note one day saying he was going to run away because she was always nagging about me.,100.0,100.0,94.495,100.0,94.495,100.0
stein,89,0.68,84.068,73.196,10.872,So they put us in the police patrol,99.083,61.0,76.19,100.0,61.0,100.0
doSomething,81,1.0,66.75,55.789,10.961,I don't know if they ever stopped him or not.,95.0,12.0,66.0,94.0,12.0,95.0
hester_v2-church,31,0.57,88.25,77.0,11.25,"Suddenly, I felt a strong urge to go home.",60.0,94.0,99.0,100.0,60.0,100.0
stein,28,0.22,31.045,19.588,11.457,"They had push carts in those days, on Fourth street.",4.587,18.0,35.238,66.355,4.587,66.355
hester_v2-church,6,0.11,92.5,81.0,11.5,"She had to care for him daily, as he couldn't move around on his own.",99.0,96.0,76.0,99.0,76.0,99.0
schissel_v1-pool,7,0.39,93.0,81.481,11.519,and she tried to save me from being stung.,100.0,86.0,99.0,87.0,86.0,100.0
schissel_v2-lake,2,0.11,93.222,81.633,11.59,This happened during our annual summer camping trip,99.01,95.37,87.0,91.509,87.0,99.01
hester_v1-park,51,0.94,64.75,53.061,11.689,and regained most of his mobility within a year.,39.0,61.0,89.0,70.0,39.0,89.0
doSomething,42,0.52,79.25,67.368,11.882,I'm thinking how drunk driving is the number one killer of kids and all this business.,68.0,75.0,84.0,90.0,68.0,90.0
doSomething,22,0.27,73.0,61.053,11.947,Mean he's got Twenty­-four blocked.,55.0,73.0,66.0,98.0,55.0,98.0
bear,45,0.37,61.0,49.0,12.0,'till we got way up in the north woods.,73.0,66.0,59.0,46.0,46.0,73.0
panic,53,0.95,37.25,25.0,12.25,it really could have been much worse,49.0,49.0,45.0,6.0,6.0,49.0
costa,13,0.07,53.25,40.86,12.39,"and she said to the nurse, “What’s this chair doing here?”",54.0,47.0,60.0,52.0,47.0,60.0
stein,33,0.25,91.802,79.381,12.421,And I finally found my mother.,94.495,87.0,85.714,100.0,85.714,100.0
hester_v1-park,40,0.74,50.25,37.755,12.495,and went back to work.,0.0,62.0,63.0,76.0,0.0,76.0
stein,41,0.32,92.94,80.412,12.528,"and says, “This is a bad neighborhood.",100.0,84.0,95.238,92.523,84.0,100.0
triplett_v1-rookie,9,0.28,93.536,80.808,12.728,She was a charming girl until she opened her mouth.,100.0,82.178,98.0,93.966,82.178,100.0
doSomething,59,0.73,98.0,85.263,12.737,and right across the road stopped a sheriff's car.,100.0,93.0,99.0,100.0,93.0,100.0
doSomething,18,0.22,48.75,35.789,12.961,"pulls out in the lane,",31.0,78.0,65.0,21.0,21.0,78.0
panic,11,0.2,78.0,65.0,13.0,not having eaten yet that day,100.0,60.0,98.0,54.0,54.0,100.0
stein,64,0.49,30.607,17.526,13.081,She went to Lackawanna high school.,8.257,12.0,16.19,85.981,8.257,85.981
panic,29,0.52,93.25,80.0,13.25,who had seen me,96.0,95.0,100.0,82.0,82.0,100.0
hester_v2-church,1,0.02,94.25,81.0,13.25,"Let me share a story from when I was twenty-two years old, just fresh out of college.",99.0,94.0,87.0,97.0,87.0,99.0
doSomething,62,0.77,74.5,61.053,13.447,"and I got out the car,",41.0,85.0,87.0,85.0,41.0,87.0
panic,10,0.18,76.5,63.0,13.5,but chalked it up to hunger,92.0,68.0,92.0,54.0,54.0,92.0
hester_v1-park,50,0.93,72.75,59.184,13.566,He continued to improve,38.0,82.0,93.0,78.0,38.0,93.0
stein,3,0.02,55.895,42.268,13.626,"but it was like – you remember I told you my father drank,",100.0,80.0,31.429,12.15,12.15,100.0
doSomething,80,0.99,48.5,34.737,13.763,Ha ha it's pretty comical...,39.0,32.0,84.0,39.0,32.0,84.0
panic,26,0.46,24.0,10.0,14.0,didn't know what to do.,35.0,20.0,40.0,1.0,1.0,40.0
hester_v2-church,25,0.46,82.0,68.0,14.0,I knelt down in front of the altar.,69.0,77.0,89.0,93.0,69.0,93.0
costa,12,0.06,37.75,23.656,14.094,"So, Victoria saw the chair,",49.0,45.0,34.0,23.0,23.0,49.0
stein,62,0.48,40.093,25.773,14.32,But thankfully my mother was not one of those kind.,77.064,51.0,28.571,3.738,3.738,77.064
panic,39,0.7,87.5,73.0,14.5,caught me just before my legs gave out,88.0,64.0,100.0,98.0,64.0,100.0
bear,2,0.02,80.5,66.0,14.5,that I met in 1949,100.0,40.0,84.0,98.0,40.0,100.0
triplett_v1-rookie,24,0.75,97.398,82.828,14.57,– it was a police station –,100.0,96.04,97.0,96.552,96.04,100.0
hester_v1-park,48,0.89,40.25,25.51,14.74,"And there he was, taking small steps.",71.0,22.0,20.0,48.0,20.0,71.0
hester_v2-church,27,0.5,99.0,84.0,15.0,But I am asking you with all my heart to heal my grandpa.,98.0,99.0,99.0,100.0,98.0,100.0
triplett_v2-catlady,25,0.78,97.678,82.653,15.025,he was sitting on a branch with a comic book in his hand.,99.074,98.058,93.578,100.0,93.578,100.0
costa,6,0.03,45.25,30.108,15.142,"It was late Saturday afternoon when they operated, very late.",47.0,39.0,26.0,69.0,26.0,69.0
schissel_v2-lake,10,0.56,55.002,39.796,15.206,"'Course friends, y'know, they don't always take no for an answer.",37.624,42.593,53.0,86.792,37.624,86.792
boyscout,9,0.47,99.747,84.536,15.211,"but the fellows didn't believe me, you know.",100.0,100.0,100.0,98.99,98.99,100.0
doSomething,32,0.4,92.25,76.842,15.408,and this guy's right on my tail.,90.0,98.0,98.0,83.0,83.0,98.0
doSomething,76,0.94,67.0,51.579,15.421,"Pretty soon they catch up with him,",81.0,65.0,59.0,63.0,59.0,81.0
stein,103,0.79,73.2,57.732,15.468,"and faced all those people that were standing around,",97.248,52.0,80.0,63.551,52.0,97.248
bear,47,0.39,88.5,73.0,15.5,"then we had to backpack for another ... five hundred miles I thought,",78.0,89.0,88.0,99.0,78.0,99.0
panic,22,0.39,62.5,47.0,15.5,my arms,61.0,49.0,76.0,64.0,49.0,76.0
panic,33,0.59,53.5,38.0,15.5,I tried to yell back that something was wrong,51.0,38.0,80.0,45.0,38.0,80.0
costa,19,0.1,78.0,62.366,15.634,"and she passed out,",74.0,65.0,90.0,83.0,65.0,90.0
panic,48,0.86,58.75,43.0,15.75,I started to feel better,62.0,87.0,46.0,40.0,40.0,87.0
triplett_v2-catlady,28,0.88,93.324,77.551,15.773,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",100.0,81.553,91.743,100.0,81.553,100.0
doSomething,23,0.28,85.25,69.474,15.776,He's sitting there right in the middle of the highway.,59.0,97.0,85.0,100.0,59.0,100.0
stein,16,0.12,64.233,48.454,15.779,Don't move 'cause nothing will reach you here.,70.642,73.0,60.952,52.336,52.336,73.0
triplett_v1-rookie,5,0.16,73.663,57.576,16.087,And in those days I was a fitness enthusiast.,91.018,36.634,67.0,100.0,36.634,100.0
costa,24,0.12,86.5,69.892,16.608,I was waiting for the call from the hospital.,90.0,91.0,85.0,80.0,80.0,91.0
